milestone,cohort,label,level,example
HEADER_TWO,PM,Plan,5,Understands what it means to run a business-driven project management plan—from strategy through execution to the realization of business benefits—centered on the client
HEADER_TWO,PM,Plan,5,Plans and monitors company-level projects.
HEADER_TWO,PM,Plan,5,"Assists in dispute negotiation, arbitration, or litigation, as needed"
HEADER_THREE,PM,Risk Mitigation,1,Participates in ongoing risk assessments with guidance
HEADER_THREE,PM,Risk Mitigation,1,Determines which risks may affect the project and documents the specifics with assistance of a senior team member
HEADER_THREE,PM,Risk Mitigation,1,Actively seeks to understand and document potential consequences of risks as they occur
HEADER_THREE,PM,Risk Mitigation,1,Ensures that mitigation plans are put in place for prioritized project risks
HEADER_THREE,PM,Risk Mitigation,1,Maintains awareness and visibility of the risks to the client and team throughout the course of the project
HEADER_THREE,PM,Risk Mitigation,2,Conducts ongoing risk assessments with guidance
HEADER_THREE,PM,Risk Mitigation,2,Understands and documents potential consequences of risks as they occur
HEADER_THREE,PM,Risk Mitigation,2,Monitors and communicates status of project risks with guidance
HEADER_THREE,PM,Risk Mitigation,2,Prioritizes risks for further analysis or action by assessing their probabilities of occurrence and impact
HEADER_THREE,PM,Risk Mitigation,2,"Ensures that the client is aware of the risks and understands their consequences, along with the mitigation plans for each of the risks"
HEADER_THREE,PM,Risk Mitigation,2,Oversees and guides the risk analysis process and the development of risk responses
HEADER_THREE,PM,Risk Mitigation,3,Prioritizes risks for further analysis or action by assessing their probabilities of occurrence and impact
HEADER_THREE,PM,Risk Mitigation,3,Develops options and actions to enhance opportunities and reduce threats to project objectives
HEADER_THREE,PM,Risk Mitigation,3,Initiates risk response plans when necessary
HEADER_THREE,PM,Risk Mitigation,3,Drives and leads creative actions to enhance opportunities and reduce threats to project objectives
HEADER_THREE,PM,Risk Mitigation,3,Proactively handles project risks by identifying potential complications and conflicts and creating/implementing timely mitigation strategies
HEADER_THREE,PM,Risk Mitigation,4,Develops best practices for guidance and direction on how risks will be managed across the discipline
HEADER_THREE,PM,Risk Mitigation,4,Coaches teammates and project teams on effective risk mitigation practices
HEADER_THREE,PM,Risk Mitigation,4,"Clearly articulates project risks to the client, including their negative impact on the company’s overall business"
HEADER_THREE,PM,Risk Mitigation,5,"Expertly conducts all stages of risk mitigation—including planning, identification, analysis, and response"
HEADER_THREE,PM,Risk Mitigation,5,Applies risk mitigation strategies to company-level processes/practices
HEADER_FOUR,PM,Information,1,"Actively listens to and understands stakeholders' needs, interests, and influences in order to achieve project success"
HEADER_FOUR,PM,Information,1,Develops and adapts communication strategies with guidance
HEADER_FOUR,PM,Information,1,Provides accurate and factual information in a concise manner
HEADER_FOUR,PM,Information,1,Participates in responses to issues and concerns
HEADER_FOUR,PM,Information,2,Effectively summarizes key points and issues in a clear and concise manner
HEADER_FOUR,PM,Information,2,"Adapts communication style, messages, and tools to meet the needs of stakeholders"
HEADER_FOUR,PM,Information,2,"Develops and maintains project tracking, dashboards, and information systems"
HEADER_FOUR,PM,Information,2,Proactively responds to issues and concerns
HEADER_FOUR,PM,Information,2,"Engages with team members when developing project progress reports, analyzing issues and potential paths forward, and removing blockers to work"
HEADER_FOUR,PM,Information,3,Engages with stakeholders proactively
HEADER_FOUR,PM,Information,3,"Establishes regular, meaningful interactions with stakeholder"
HEADER_FOUR,PM,Information,3,Appropriately matches level of formality to meetings and audience
HEADER_FOUR,PM,Information,3,Regularly conducts follow-up with stakeholders
HEADER_FOUR,PM,Information,3,Seeks validation of information
HEADER_FOUR,PM,Information,3,Balances speed of provision of information against reliability of information
HEADER_FOUR,PM,Information,3,"Provides feedback on templates and guidelines, including examples and methods based on experiences and lessons learned"
HEADER_FOUR,PM,Information,3,"Evaluates, develops, and executes responses to provide an appropriate level of information to stakeholders and maintain their engagement throughout project life cycle"
HEADER_FOUR,PM,Information,4,"Establishes best practices in effectively communicating key information about project plan status, budget and timeline."
HEADER_FOUR,PM,Information,4,"Has difficult conversations with the client around schedule, budget, and risk and is able to resolve the issue amicably"
HEADER_FOUR,PM,Information,4,Builds processes and structures to ensure the transfer of information that influences strategic decisions and produces foundations for new project management capabilities
HEADER_FOUR,PM,Information,4,Continually seeks new information to assess the effectiveness of our project management practice
HEADER_FOUR,PM,Information,4,Uses appropriate channels internally to disseminate company/practice information
HEADER_FOUR,PM,Information,5,Presents complex company information in digestible ways
HEADER_FOUR,PM,Information,5,Improves company-wide information communication channels
HEADER_ONE,MANAGEMENT,Expertise,1,"Has an emergent skillset in one of the key Palantir disciplines: strategy, design, project management or engineering; or in a supporting service critical to Palantir’s organizational success (e.g., business strategy, sales, employee engagement)"
HEADER_ONE,MANAGEMENT,Expertise,1,Is self-guiding when it comes to executing tasks within their area of expertise
HEADER_ONE,MANAGEMENT,Expertise,1,Understands basic best practices in their areas of expertise
HEADER_ONE,MANAGEMENT,Expertise,1,Needs guidance to determine which managerial initiatives they should pursue
HEADER_ONE,MANAGEMENT,Expertise,1,Effectively communicates subject matter expertise to a wide range of audiences
HEADER_ONE,MANAGEMENT,Expertise,2,Is expanding their experience and proficiency in a core component of our business or supporting service and can provide meaningful support to initiatives in that space
HEADER_ONE,MANAGEMENT,Expertise,2,Coaches others in their area of expertise to improve their performance/deepen their understanding of the practice
HEADER_ONE,MANAGEMENT,Expertise,2,Participates in initiatives and experiments relevant to their subject matter expertise
HEADER_ONE,MANAGEMENT,Expertise,2,Works well in their area of expertise with little to no daily guidance
HEADER_ONE,MANAGEMENT,Expertise,3,"Engages with others in order to successfully lead, design, implement, and assesses new initiatives in their area of subject matter expertise"
HEADER_ONE,MANAGEMENT,Expertise,3,Develops new plays in their area of expertise
HEADER_ONE,MANAGEMENT,Expertise,3,"Determines/designs solid, well-researched solutions to ambiguous or open-ended problems"
HEADER_ONE,MANAGEMENT,Expertise,3,Has attained proficiency in a core component of our business or supporting service and can execute initiatives in that space
HEADER_ONE,MANAGEMENT,Expertise,3,Effectively communicates core business expertise to a wide range of audiences
HEADER_ONE,MANAGEMENT,Expertise,4,Is recognized as incredibly knowledgeable in their area of expertise by industry experts/leaders outside of Palantir
HEADER_ONE,MANAGEMENT,Expertise,4,Is a sought after partner to co-create new initiatives
HEADER_ONE,MANAGEMENT,Expertise,4,Is learning new areas of the business to have a fuller understanding of others’ work and how Palantir operates
HEADER_ONE,MANAGEMENT,Expertise,4,Explores and experiments with projects that have a sizable impact for Palantir
HEADER_ONE,MANAGEMENT,Expertise,4,Identifies gaps at the company/organization level and proposes and/or leads initiatives to resolve them
HEADER_ONE,MANAGEMENT,Expertise,4,Assesses the effectiveness of initiatives with the goal of identifying ways to improve our initiative development and implementation processes
HEADER_ONE,MANAGEMENT,Expertise,5,Is an expert in multiple areas of our business
HEADER_ONE,MANAGEMENT,Expertise,5,Designs and implements industry-leading techniques to solve complex problems
HEADER_ONE,MANAGEMENT,Expertise,5,"Sets the priority and timeline for initiatives, including identifying when an initiative should be prioritized, ended, delayed or changed based on new information and constraints"
HEADER_ONE,MANAGEMENT,Expertise,5,Sees patterns across Palantir initiatives and makes connections between them to move projects and experiments forward
HEADER_ONE,MANAGEMENT,Expertise,5,Leads work that affects one or more complex systems and mission-critical areas
HEADER_TWO,MANAGEMENT,Servant Leadership,1,Sets an example of Palantir values with regard to interactions; is aware that as a member of management their behavior is highly visible and sets an example for others to follow
HEADER_TWO,MANAGEMENT,Servant Leadership,1,Is aware of their strengths and opportunities for growth
HEADER_TWO,MANAGEMENT,Servant Leadership,1,"When approached by a colleague with an issue, exhibits curiosity and understanding before making conclusions"
HEADER_TWO,MANAGEMENT,Servant Leadership,1,Actively listens
HEADER_TWO,MANAGEMENT,Servant Leadership,1,Assumes positive intent of a colleague when approached with a conflicting point of view or hard-to-solve problem
HEADER_TWO,MANAGEMENT,Servant Leadership,1,Prioritizes needs of others
HEADER_TWO,MANAGEMENT,Servant Leadership,1,Understands the company vision and how it applies to their work
HEADER_TWO,MANAGEMENT,Servant Leadership,1,Has a clear understanding of the RBS and can guide others in its use
HEADER_TWO,MANAGEMENT,Servant Leadership,2,"Uses an understanding of the organization's processes, systems and policies to engage with colleagues"
HEADER_TWO,MANAGEMENT,Servant Leadership,2,"Assumes positive intent of others, approaching every interaction with respect and good humor"
HEADER_TWO,MANAGEMENT,Servant Leadership,2,Demonstrates active and empathic listening
HEADER_TWO,MANAGEMENT,Servant Leadership,2,"Communicates difficult messages in an honest, accurate, and respectful manner"
HEADER_TWO,MANAGEMENT,Servant Leadership,2,Understands the company vision and can help others apply it to their work
HEADER_TWO,MANAGEMENT,Servant Leadership,3,"Is a POD representative, fulfilling expectations of that role"
HEADER_TWO,MANAGEMENT,Servant Leadership,3,Leverages relationships to best support and develop individuals
HEADER_TWO,MANAGEMENT,Servant Leadership,3,Exhibits Palantir values when resolving talent needs and issues
HEADER_TWO,MANAGEMENT,Servant Leadership,3,"Recognizes when a team is not performing at its best and provides intervention, coaching or support"
HEADER_TWO,MANAGEMENT,Servant Leadership,3,Establishes clear expectations for both performance and growth for teams
HEADER_TWO,MANAGEMENT,Servant Leadership,3,Has a clear understanding of the roles/disciplines/cohorts across Palantir
HEADER_TWO,MANAGEMENT,Servant Leadership,3,Coaches others on how to approach “difficult conversations” about performance/personnel issues
HEADER_TWO,MANAGEMENT,Servant Leadership,3,"Identifies when a discipline is not performing at its best and requires intervention, coaching or support"
HEADER_TWO,MANAGEMENT,Servant Leadership,3,Establishes clear expectations for performance and growth for disciplines
HEADER_TWO,MANAGEMENT,Servant Leadership,3,"Identifies when a new skill set/team member could be added to Palantir, and can make a case for a new role/new hire"
HEADER_TWO,MANAGEMENT,Servant Leadership,3,Supports the talent pipeline by building relationships in their community of practice
HEADER_TWO,MANAGEMENT,Servant Leadership,3,Helps people develop and perform to their full potential
HEADER_TWO,MANAGEMENT,Servant Leadership,3,Uses awareness and understanding of the organization's culture to implement change initiatives
HEADER_TWO,MANAGEMENT,Servant Leadership,3,Exhibits the ability to deeply understand and empathize with others
HEADER_TWO,MANAGEMENT,Servant Leadership,3,Brings their best self to your work and makes space for others to do so as well
HEADER_TWO,MANAGEMENT,Servant Leadership,3,Delivers persuasive and compelling messages
HEADER_TWO,MANAGEMENT,Servant Leadership,3,Leverages their strengths and seeks others’ expertise to fill in gaps
HEADER_TWO,MANAGEMENT,Servant Leadership,3,Serves on teams to design initiatives that help further the company vision
HEADER_TWO,MANAGEMENT,Servant Leadership,4,Plays a mentor/coach role on project teams and serves as a point of escalation
HEADER_TWO,MANAGEMENT,Servant Leadership,4,"Has “difficult conversations,” with some coaching, about challenges in the company"
HEADER_TWO,MANAGEMENT,Servant Leadership,4,Can validate when a new hire can be supported by Palantir
HEADER_TWO,MANAGEMENT,Servant Leadership,4,"Always looks to enhance the development of their team members in ways that unlock potential, creativity, and sense of purpose"
HEADER_TWO,MANAGEMENT,Servant Leadership,4,Uses an understanding of the organization's culture and business environment to develop and implement strategic plans
HEADER_TWO,MANAGEMENT,Servant Leadership,4,"Informs a person affected by a decision about what is happening, ensuring that the group has all of the necessary information"
HEADER_TWO,MANAGEMENT,Servant Leadership,4,"Provides visible leadership that ""walks the talk."" Sets high performance standards for self, acting as a role model for the team"
HEADER_TWO,MANAGEMENT,Servant Leadership,4,Exhibits humility
HEADER_TWO,MANAGEMENT,Servant Leadership,4,Leads initiatives that further the company vision
HEADER_TWO,MANAGEMENT,Servant Leadership,5,Sets the vision and business model for the company
HEADER_TWO,MANAGEMENT,Servant Leadership,5,Establishes clear expectations for performance and growth for the company as a whole
HEADER_TWO,MANAGEMENT,Servant Leadership,5,Coaches and mentors all members of the management team to improve their managerial skills
HEADER_TWO,MANAGEMENT,Servant Leadership,5,"Uses an understanding of complex relationships among organizational leaders to facilitate the strategy, implementation, and maintenance of initiatives proposed by other leaders"
HEADER_THREE,MANAGEMENT,Facilitation,1,Actively seeks views from a range of colleagues to help gain understanding
HEADER_THREE,MANAGEMENT,Facilitation,1,Successfully runs meetings when sharing their work with colleagues
HEADER_THREE,MANAGEMENT,Facilitation,1,Contributes to creating an inclusive environment
HEADER_THREE,MANAGEMENT,Facilitation,1,Differentiates between conversations that simply need to be had and what conversations need to drive to a practical outcome and structure the conversations accordingly
HEADER_THREE,MANAGEMENT,Facilitation,1,"Actively participates in conversations facilitated by others, by offering ideas and asking questions"
HEADER_THREE,MANAGEMENT,Facilitation,1,Mediates low-level conflicts among team members
HEADER_THREE,MANAGEMENT,Facilitation,2,Is becoming comfortable in mediating escalated conflicts within a team or projects
HEADER_THREE,MANAGEMENT,Facilitation,2,Engages all members of the team in order to understand their points of view
HEADER_THREE,MANAGEMENT,Facilitation,2,Is able to guide a group to make a decision
HEADER_THREE,MANAGEMENT,Facilitation,2,"Crafts meeting agendas that keep groups on track, engages all participants, and leads to positive outcomes"
HEADER_THREE,MANAGEMENT,Facilitation,3,Leads project teams leveraging what drives and motivates the individual group members
HEADER_THREE,MANAGEMENT,Facilitation,3,"Resolves and/or mediates conflicts in a respectful, appropriate and impartial manner"
HEADER_THREE,MANAGEMENT,Facilitation,3,Takes time to understand how individuals and teams are performing and working together to deliver the project outcomes
HEADER_THREE,MANAGEMENT,Facilitation,3,Helps teams build and foster trust
HEADER_THREE,MANAGEMENT,Facilitation,3,Actively participates in conversations facilitated by others both by offering ideas and asking questions
HEADER_THREE,MANAGEMENT,Facilitation,3,Is able to facilitate low-level conflicts with client stakeholders to achieve outcomes
HEADER_THREE,MANAGEMENT,Facilitation,3,"Encourages productive and respectful task-related discussions, using it to facilitate change"
HEADER_THREE,MANAGEMENT,Facilitation,4,Facilitates difficult interactions among stakeholders to achieve positive outcomes
HEADER_THREE,MANAGEMENT,Facilitation,4,Coaches others on how to facilitate low-level conflicts both internally and with clients
HEADER_THREE,MANAGEMENT,Facilitation,4,Is able to facilitate contract disputes with clients to resolution with coaching
HEADER_THREE,MANAGEMENT,Facilitation,4,Is focused on the big picture and context of the business and issue(s) at hand
HEADER_THREE,MANAGEMENT,Facilitation,4,Uses their understanding of individuals and teams to make the project strategy tangible to individuals and teams
HEADER_THREE,MANAGEMENT,Facilitation,4,Creates conditions for people to generate their own insights to solve their most pressing problems
HEADER_THREE,MANAGEMENT,Facilitation,4,Coaches others seeking to change approach and mindset around existing parameters
HEADER_THREE,MANAGEMENT,Facilitation,4,"While bringing their perspective to the table, works to bring forward the ideas of others"
HEADER_THREE,MANAGEMENT,Facilitation,4,Helps groups get unblocked
HEADER_THREE,MANAGEMENT,Facilitation,5,Facilitates “root” and “trunk-level” decisions that have long-lasting implications for the company
HEADER_THREE,MANAGEMENT,Facilitation,5,Serves as a positive role model for productive conflict
HEADER_THREE,MANAGEMENT,Facilitation,5,Coaches others on how to resolve conflicts at all levels
HEADER_THREE,MANAGEMENT,Facilitation,5,"Resolves complex organizational dysfunction, or persistent conflict at senior levels"
HEADER_FOUR,MANAGEMENT,Motivation,1,Contributes to generating commitment in individuals and the team
HEADER_FOUR,MANAGEMENT,Motivation,1,"Shares specific, relevant ++ messages in project and general Slack channel recognizing the work of teams and individuals"
HEADER_FOUR,MANAGEMENT,Motivation,1,"Provides respectful, specific and actionable feedback to teammates"
HEADER_FOUR,MANAGEMENT,Motivation,1,Is supportive of Palantir initiatives or works to influence changes to them to better the organization
HEADER_FOUR,MANAGEMENT,Motivation,1,Models good work/life integration by using benefits/PTO and supporting individuals in doing the same
HEADER_FOUR,MANAGEMENT,Motivation,1,Shares their opinion so the team knows what they are thinking
HEADER_FOUR,MANAGEMENT,Motivation,1,Identifies patterns of issues/challenges and coaches individuals/teams to resolution with support
HEADER_FOUR,MANAGEMENT,Motivation,2,Creates an open and accessible environment that promotes creativity
HEADER_FOUR,MANAGEMENT,Motivation,2,Validates ongoing work and sustains motivation
HEADER_FOUR,MANAGEMENT,Motivation,2,Seeks to identify and nurture emergent skills in themselves and others
HEADER_FOUR,MANAGEMENT,Motivation,2,"Establishes challenging, yet realistic, performance goals that tap into the interests of others"
HEADER_FOUR,MANAGEMENT,Motivation,2,"Advocates for/creates opportunities for individuals to grow their skills, either through professional development, company projects, or client project work"
HEADER_FOUR,MANAGEMENT,Motivation,2,Calls on others to share their opinions
HEADER_FOUR,MANAGEMENT,Motivation,2,Identifies patterns of issues/challenges and coaches individuals/teams to resolution
HEADER_FOUR,MANAGEMENT,Motivation,3,Recognizes excellence in individual and team performance beyond Slack posts
HEADER_FOUR,MANAGEMENT,Motivation,3,"Seeks appropriate public recognition of excellent performance (suggesting talks, blog posts, articles, modules, and awards)"
HEADER_FOUR,MANAGEMENT,Motivation,3,Identifies patterns across excellent individual and team performance and seeks to identify ways to replicate those patterns across individuals and teams
HEADER_FOUR,MANAGEMENT,Motivation,3,Understands the full range of career paths available at Palantir and can coach individuals on next steps
HEADER_FOUR,MANAGEMENT,Motivation,3,Empowers a team to drive forward amidst uncertainty
HEADER_FOUR,MANAGEMENT,Motivation,3,Models excellence and enthusiasm for the work of the team
HEADER_FOUR,MANAGEMENT,Motivation,3,Is a point of escalation for patterns of issues/challenges that cannot be resolved between individuals
HEADER_FOUR,MANAGEMENT,Motivation,4,Empowers the project team and individuals to do their best work
HEADER_FOUR,MANAGEMENT,Motivation,4,"Expresses positive expectations of others regarding their abilities or potential, even in challenging cases"
HEADER_FOUR,MANAGEMENT,Motivation,4,Coaches individuals facing issues that can lead to separation if not addressed
HEADER_FOUR,MANAGEMENT,Motivation,4,Identifies when separation with an individual is necessary to protect/support the team as a whole
HEADER_FOUR,MANAGEMENT,Motivation,4,Believes others want to and can learn
HEADER_FOUR,MANAGEMENT,Motivation,4,Ensures that the self-realization and practical needs of the project team are met
HEADER_FOUR,MANAGEMENT,Motivation,4,Uses others as a sounding board for generating ideas and plans; acknowledges their expertise or perspective when asking for their opinions
HEADER_FOUR,MANAGEMENT,Motivation,4,"Ensures that patterns of issues/challenges are resolved, either through coaching, direct intervention, or proposing an initiative"
HEADER_FOUR,MANAGEMENT,Motivation,5,"Is focused on the future of Palantir, researching and iterating on solutions that further Palantir as a well-run, sustainable company"
HEADER_FOUR,MANAGEMENT,Motivation,5,Finds and uses successes to celebrate progress towards a corporate vision
HEADER_FOUR,MANAGEMENT,Motivation,5,Sets clear goals and a desired future state that is compelling and realistic for the company as a whole
HEADER_FOUR,MANAGEMENT,Motivation,5,"Assesses initiatives proposed to deliver against those goals, and provides feedback/support to initiatives that meet that bar"
HEADER_FOUR,MANAGEMENT,Motivation,5,Sets an inspirational vision that helps others be their best selves at work
HEADER_FOUR,MANAGEMENT,Motivation,5,Identifies benefits/processes at a company level that
HEADER_ONE,DESIGN,Design Foundations,1,"Demonstrates proficiency in the tools, techniques, processes, and technologies adopted by the team"
HEADER_ONE,DESIGN,Design Foundations,1,Is becoming familiar with the technical strengths and constraints within our preferred technology solutions
HEADER_ONE,DESIGN,Design Foundations,1,Is learning to present work to clients with the guidance of a more experienced team member
HEADER_ONE,DESIGN,Design Foundations,1,Understands the founding principles of UX design and usability
HEADER_ONE,DESIGN,Design Foundations,2,Is strengthening proficiency in Palantir’s UX Design practice
HEADER_ONE,DESIGN,Design Foundations,2,"Is deepening understanding and efficiency in team tools, techniques, processes and technologies"
HEADER_ONE,DESIGN,Design Foundations,2,"Applies current best practices in the areas of usability, accessibility, information architecture, and UX design"
HEADER_ONE,DESIGN,Design Foundations,2,Understands the strengths and constraints of our preferred technology solutions
HEADER_ONE,DESIGN,Design Foundations,2,Advocates for solutions easily supported by the selected technology while supporting the project goals
HEADER_ONE,DESIGN,Design Foundations,2,Explores new methodologies when the project need arises
HEADER_ONE,DESIGN,Design Foundations,2,Works well in their area of expertise with little to no daily guidance
HEADER_ONE,DESIGN,Design Foundations,2,"Collaborates effectively with team members, proactively reaching out when needs arise"
HEADER_ONE,DESIGN,Design Foundations,2,Proactively seeks out industry trends
HEADER_ONE,DESIGN,Design Foundations,2,Is capable of defining design work for themselves and other team members
HEADER_ONE,DESIGN,Design Foundations,2,"Is proficient with UI/UX tools (e.g., Sketch, Figma, Adobe Creative Cloud, Invision, etc.)"
HEADER_ONE,DESIGN,Design Foundations,2,"Problem solves within the framework of project goals, user needs, timeline and budget"
HEADER_ONE,DESIGN,Design Foundations,2,"Designs and performs competitive analysis, proactively researches relevant examples and seeks out industry trends"
HEADER_ONE,DESIGN,Design Foundations,3,"Explores new tools, techniques, processes and technologies that may increase efficiency and effectiveness on projects"
HEADER_ONE,DESIGN,Design Foundations,3,Can guide a client towards solutions easily supported by our recommended technology solutions
HEADER_ONE,DESIGN,Design Foundations,3,"Confidently communicates UX findings and recommendations, connecting UX rationale of project goals"
HEADER_ONE,DESIGN,Design Foundations,3,Collaborates with the development and engineering team to learn technical requirements and constraints of a project
HEADER_ONE,DESIGN,Design Foundations,3,Develops new plays in their area of expertise
HEADER_ONE,DESIGN,Design Foundations,3,"Determines solid, well-researched solutions to ambiguous or open-ended problems"
HEADER_ONE,DESIGN,Design Foundations,3,"Adapts process and contributes value within client-approved budget, scope and timeline"
HEADER_ONE,DESIGN,Design Foundations,3,Creates documentation and training materials for projects
HEADER_ONE,DESIGN,Design Foundations,4,Explores ways to leverage technology to solve a unique problem for a client or project
HEADER_ONE,DESIGN,Design Foundations,4,Has multiple strategies for managing and responding to challenging feedback
HEADER_ONE,DESIGN,Design Foundations,4,"Has an expert understanding of design systems, component based design, web accessibility and UX best practices"
HEADER_ONE,DESIGN,Design Foundations,4,"Helps sales team accurately represent and sell design, creating estimates, communicating processes and providing examples"
HEADER_ONE,DESIGN,Design Foundations,4,Is a sought after partner to co-create new initiatives
HEADER_ONE,DESIGN,Design Foundations,4,Explores and experiments within projects contributing to sizable client value
HEADER_ONE,DESIGN,Design Foundations,4,"Strategically analyzes the risks, benefits, and opportunities of various solutions"
HEADER_ONE,DESIGN,Design Foundations,4,Seeks out discipline-wide opportunities for improvement
HEADER_ONE,DESIGN,Design Foundations,4,"Is incredibly knowledgeable in their area of expertise, recognized by industry experts/leaders outside of Palantir"
HEADER_ONE,DESIGN,Design Foundations,5,"Is always evolving the UX practice, with a focus on how to add the highest value for the client within any time or budget"
HEADER_ONE,DESIGN,Design Foundations,5,Designs and implements industry-leading techniques to solve complex problems
HEADER_ONE,DESIGN,Design Foundations,5,Leads projects that are complex and mission critical
HEADER_ONE,DESIGN,Design Foundations,5,Sees patterns across Palantir design and UX work and makes connections between them to move projects and experiments forward
HEADER_ONE,DESIGN,Design Foundations,5,"Is capable of high-level, consultative, predictive thinking"
HEADER_TWO,DESIGN,UX Design,1,Understands UI/UX design fundamentals
HEADER_TWO,DESIGN,UX Design,1,Is learning about accessibility and how it applies to UX design
HEADER_TWO,DESIGN,UX Design,1,Has a basic level of understanding of usability principles
HEADER_TWO,DESIGN,UX Design,1,Is learning about content modeling with the guidance of a more experienced team member
HEADER_TWO,DESIGN,UX Design,1,"Is learning about how content models, site structure and page layouts support the project goals and user needs"
HEADER_TWO,DESIGN,UX Design,1,Creates wireframes with the guidance of a more experienced team member
HEADER_TWO,DESIGN,UX Design,2,Continuously learns and stays current on UX design trends
HEADER_TWO,DESIGN,UX Design,2,Can design effective UX solutions for desktop and mobile devices
HEADER_TWO,DESIGN,UX Design,2,Continues to learn about usability and how it applies to common project challenges
HEADER_TWO,DESIGN,UX Design,2,Provides effective UX designs within the framework of the project goals and user needs
HEADER_TWO,DESIGN,UX Design,2,Leads wireframing workshops with the client with the support of a UX strategist
HEADER_TWO,DESIGN,UX Design,2,Creates UX design layouts with sample content that supports site goals and user needs
HEADER_TWO,DESIGN,UX Design,3,Looks for ways to incorporate new UX design solutions into projects
HEADER_TWO,DESIGN,UX Design,3,Understands when and how to take a mobile first approach to UX design
HEADER_TWO,DESIGN,UX Design,3,"Can talk to, educate, and inform clients about web accessibility, explaining design rationale in relation to this topic"
HEADER_TWO,DESIGN,UX Design,3,Communicate UX design choices to the client within the framework of the project goals and user needs
HEADER_TWO,DESIGN,UX Design,3,Coaches client on how to use web components to achieve site goals and user needs (content strategy)
HEADER_TWO,DESIGN,UX Design,4,Invents new UX design solutions to a problem when a previous solution may not exist
HEADER_TWO,DESIGN,UX Design,4,"Can easily navigate conversations around mobile UX design with clients, sharing the pros and cons of various approaches"
HEADER_TWO,DESIGN,UX Design,4,"Can discuss, inform and educate clients about why certain approaches may be more user friendly than others"
HEADER_TWO,DESIGN,UX Design,4,Advocates for the best user experience throughout a project
HEADER_TWO,DESIGN,UX Design,4,Creates training materials to help the client add and configure their content in a way that supports the strategy and goals of the project
HEADER_TWO,DESIGN,UX Design,5,Leads team to explore new UX design solution for mobile devices
HEADER_TWO,DESIGN,UX Design,5,Shares ideas with the team about usability insights. Looks for ways to incorporate these ideas into future projects
HEADER_TWO,DESIGN,UX Design,5,Creates new ways to deliver continued value to client with the UX design practice
HEADER_THREE,DESIGN,Visual Design,1,Understands design fundamentals such as the principles and elements of design
HEADER_THREE,DESIGN,Visual Design,1,Creates compelling and effective design within the constraints of a project with the guidance of a more experienced designer
HEADER_THREE,DESIGN,Visual Design,1,"Is aware of current design trends in web design, print, web applications, software, and mobile applications"
HEADER_THREE,DESIGN,Visual Design,2,"Stays current on new visual design trends in our areas of expertise (i.e. healthcare, higher education, government)"
HEADER_THREE,DESIGN,Visual Design,2,Provides feedback to team members during design critiques
HEADER_THREE,DESIGN,Visual Design,2,Understands and can effectively extend a visual design system for the web
HEADER_THREE,DESIGN,Visual Design,2,"Explores ways to modernize and evolve a design system with each project, without compromising the client’s brand integrity"
HEADER_THREE,DESIGN,Visual Design,3,Pushes themselves to try new visual solutions on every project
HEADER_THREE,DESIGN,Visual Design,3,"Effectively presents work to client, clearly articulating design and art direction rationale"
HEADER_THREE,DESIGN,Visual Design,3,"Can navigate vague or challenging client feedback, translating feedback into the language of design"
HEADER_THREE,DESIGN,Visual Design,3,Has a deep understanding of design systems as they relate to the web
HEADER_THREE,DESIGN,Visual Design,3,"Can design within any predefined brand framework, regardless of style"
HEADER_THREE,DESIGN,Visual Design,3,Creates and documents  guidelines for how to follow a visual design system
HEADER_THREE,DESIGN,Visual Design,4,Creates design and web brand systems from scratch
HEADER_THREE,DESIGN,Visual Design,4,"Strengthens their skill set by creating visual assets, iconography, illustration, photography direction and conceptual design"
HEADER_THREE,DESIGN,Visual Design,4,Acts as art director with colleagues
HEADER_THREE,DESIGN,Visual Design,4,Initiates and implements production methodologies that increase efficiency for repeatable tasks
HEADER_THREE,DESIGN,Visual Design,5,Coaches and mentors less experienced team members to strengthen their visual design
HEADER_THREE,DESIGN,Visual Design,5,Shares design insights within the team and publicly via blogs or talks
HEADER_THREE,DESIGN,Visual Design,5,Works with management to suggest new design offerings Palantir could offer that fill a client need and fall within the expertise of the team
HEADER_FOUR,DESIGN,Prototyping,1,"Converts visual designs into a functional prototype using HTML,CSS and JS with the guidance of a more experienced team member"
HEADER_FOUR,DESIGN,Prototyping,1,Creates prototypes within existing frameworks supported by the team
HEADER_FOUR,DESIGN,Prototyping,1,Understands the visual building blocks of a design system and how they can be extended
HEADER_FOUR,DESIGN,Prototyping,2,Creates HTML/CSS prototypes with increasing efficiency and proficiency
HEADER_FOUR,DESIGN,Prototyping,2,Implement sand modifes JS code to help create interactions and functionality
HEADER_FOUR,DESIGN,Prototyping,2,Extends component libraries in code without visual mockups
HEADER_FOUR,DESIGN,Prototyping,2,Presents and solicits client feedback on prototypes
HEADER_FOUR,DESIGN,Prototyping,3,Creates code that follows accessibility standards
HEADER_FOUR,DESIGN,Prototyping,3,"Creates full library of components in code, including list views, interaction elements and high level page layouts"
HEADER_FOUR,DESIGN,Prototyping,3,Creates micro animation interactions when it improves the user experience
HEADER_FOUR,DESIGN,Prototyping,3,Works to standardize prototyping approaches across the team
HEADER_FOUR,DESIGN,Prototyping,3,Creates and documents guidelines for how to leverage the style guide (component library)
HEADER_FOUR,DESIGN,Prototyping,4,Realizes efficiencies within repeatable patterns from project to project
